start_time,sat,supra_MeV_flux
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
